id,text,clean_text,preprocessed_text
1997546495437164596,Akurat sampai banjir scatter men. petir auto konek. Mantap https://t.co/GKEITvnCCE,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/gkeitvncce,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/gkeitvncce
1997546495323873368,Akurat sampai banjir scatter men. petir auto konek. Mantap https://t.co/m1RPOl5FcS,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/mrpolfcs,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/mrpolfcs
1997546491985175012,Akurat sampai banjir scatter men. petir auto konek. Mantap https://t.co/hrzVRzhqbv,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/hrzvrzhqbv,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/hrzvrzhqbv
1997546491880345848,Akurat sampai banjir scatter men. petir auto konek. Mantap https://t.co/PV86D6ixo0,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/pvdixo,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/pvdixo
1997546486503207333,RT @mkusumawijaya: Selamat pagi teman2 di Jabar yg sedang kebanjiran. Semoga segera dapat bantuan dan cepat pulih. Semoga sabar krn gub-nya…,rtmkusumawijayaselamatpagitemandijabarygsedangkebanjiransemogasegeradapatbantuandancepatpulihsemogasabarkrngubnya,rtmkusumawijayaselamatpagitemandijabarygsedangkebanjiransemogasegeradapatbantuandancepatpulihsemogasabarkrngubnya
1997546484058017820,"RT @siregar_najeges: Sekarang baru tau, salah satu penyebab BANJIR :

1. Buang sampah sembarangan..

2. Nebang pohon sembarangan..

3. Nyob…",rtsiregarnajegessekarangbarutausalahsatupenyebabbanjirbuangsampahsembarangannebangpohonsembarangannyob,rtsiregarnajegessekarangbarutausalahsatupenyebabbanjirbuangsampahsembarangannebangpohonsembarangannyob
1997546483495883098,"RT @PngAdilnR4kyt: DEFORESTASI YANG BRUTAL....

PENERBITAN IZIN YANG MASIF DAN PENGAWASAN YANG TIDAK DILAKUKAN SAAT REZIM JOKOWI BEKERJA...…",rtpngadilnrkytdeforestasiyangbrutalpenerbitanizinyangmasifdanpengawasanyangtidakdilakukansaatrezimjokowibekerja,rtpngadilnrkytdeforestasiyangbrutalpenerbitanizinyangmasifdanpengawasanyangtidakdilakukansaatrezimjokowibekerja
1997546482837373215,"RT @CNNIndonesia: Mualem: Pengungsi Meninggal Bukan karena Banjir, tapi Kelaparan https://t.co/kyroVAoQTU",rtcnnindonesiamualempengungsimeninggalbukankarenabanjirtapikelaparanhttps//tco/kyrovaoqtu,rtcnnindonesiamualempengungsimeninggalbukankarenabanjirtapikelaparanhttps//tco/kyrovaoqtu
1997546482577383524,Akurat sampai banjir scatter men. petir auto konek. Mantap https://t.co/4pSfZfUPqU,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/psfzfupqu,akuratsampaibanjirscattermenpetirautokonekmantaphttps//tco/psfzfupqu
1997546467431735535,RT @VIVAcoid: Viral di media sosial curhatan petugas dan relawan saat hendak melakukan proses evakuasi pasca banjir di Desa Hutan Godang Su…,rtvivacoidviraldimediasosialcurhatanpetugasdanrelawansaathendakmelakukanprosesevakuasipascabanjirdidesahutangodangsu,rtvivacoidviraldimediasosialcurhatanpetugasdanrelawansaathendakmelakukanprosesevakuasipascabanjirdidesahutangodangsu
1997546460637024336,"RT @P3gEl: Alam pun telah memberikan petunjuk tentang siapakah yang telah merusak dan sebabkan banjir bandang di Sumbar, ada nama PT nya pu…",rtpgelalampuntelahmemberikanpetunjuktentangsiapakahyangtelahmerusakdansebabkanbanjirbandangdisumbaradanamaptnyapu,rtpgelalampuntelahmemberikanpetunjuktentangsiapakahyangtelahmerusakdansebabkanbanjirbandangdisumbaradanamaptnyapu
1997546459294781800,"RT @guzman_sige: Imah aing kabanjiran paaaak, di Dayeuhkolot. Dieu atuh bantuan.

Pembela beliau be like:
""Eta mah urusan bupati na?""

Nya…",rtguzmansigeimahaingkabanjiranpaaaakdidayeuhkolotdieuatuhbantuanpembelabeliaubelikeetamahurusanbupatinanya,rtguzmansigeimahaingkabanjiranpaaaakdidayeuhkolotdieuatuhbantuanpembelabeliaubelikeetamahurusanbupatinanya
1997546458237866351,"RT @awaasaurus: um... kabupaten bandung lagi banjir se dada orang dewasa juga loh hehe hehe
tp kurang ya pak exposurenya kalo disitu mah",rtawaasaurusumkabupatenbandunglagibanjirsedadaorangdewasajugalohhehehehetpkurangyapakexposurenyakalodisitumah,rtawaasaurusumkabupatenbandunglagibanjirsedadaorangdewasajugalohhehehehetpkurangyapakexposurenyakalodisitumah
1997546450604204341,RT @Mdy_Asmara1701: Seminggu setelah banjir... https://t.co/WQqar0dwLL,rtmdyasmaraseminggusetelahbanjirhttps//tco/wqqardwll,rtmdyasmaraseminggusetelahbanjirhttps//tco/wqqardwll
1997546449090031918,"RT @suryadelalu: Gubernur Konten lagi bikin video ke Sumatera.

Sementara Sukabumi sedang banjir bandang.",rtsuryadelalugubernurkontenlagibikinvideokesumaterasementarasukabumisedangbanjirbandang,rtsuryadelalugubernurkontenlagibikinvideokesumaterasementarasukabumisedangbanjirbandang
1997546448569897437,"RT @markaekal: https://t.co/eTbvIGEpxT

ini cerita g sesuai judul bikin banjir aja mana dengan lagu paper cuts mengiringi",rtmarkaekalhttps//tco/etbvigepxtiniceritagsesuaijudulbikinbanjirajamanadenganlagupapercutsmengiringi,rtmarkaekalhttps//tco/etbvigepxtiniceritagsesuaijudulbikinbanjirajamanadenganlagupapercutsmengiringi
1997546441091473634,"RT @ommi_siregar: Alhamdulillah, Ferry udah di Sumbar.. 

Alhamdulillah kita memiliki anak muda relawan yang peduli pada nasib bangsa ini,…",rtommisiregaralhamdulillahferryudahdisumbaralhamdulillahkitamemilikianakmudarelawanyangpedulipadanasibbangsaini,rtommisiregaralhamdulillahferryudahdisumbaralhamdulillahkitamemilikianakmudarelawanyangpedulipadanasibbangsaini
1997546439493480828,"RT @awaasaurus: um... kabupaten bandung lagi banjir se dada orang dewasa juga loh hehe hehe
tp kurang ya pak exposurenya kalo disitu mah",rtawaasaurusumkabupatenbandunglagibanjirsedadaorangdewasajugalohhehehehetpkurangyapakexposurenyakalodisitumah,rtawaasaurusumkabupatenbandunglagibanjirsedadaorangdewasajugalohhehehehetpkurangyapakexposurenyakalodisitumah
1997546432094712114,RT @Aceh: FPI dirikan posko untuk daerah terisolasi Bener Meriah dan Aceh Tengah. FPI sudah penah di bubarkan  pemerintah pada tahun 2020.…,rtacehfpidirikanposkountukdaerahterisolasibenermeriahdanacehtengahfpisudahpenahdibubarkanpemerintahpadatahun,rtacehfpidirikanposkountukdaerahterisolasibenermeriahdanacehtengahfpisudahpenahdibubarkanpemerintahpadatahun
1997546396497625311,"RT @P3gEl: Alam pun telah memberikan petunjuk tentang siapakah yang telah merusak dan sebabkan banjir bandang di Sumbar, ada nama PT nya pu…",rtpgelalampuntelahmemberikanpetunjuktentangsiapakahyangtelahmerusakdansebabkanbanjirbandangdisumbaradanamaptnyapu,rtpgelalampuntelahmemberikanpetunjuktentangsiapakahyangtelahmerusakdansebabkanbanjirbandangdisumbaradanamaptnyapu
